@relation 'generators.SEAGenerator -i 3'

@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute class {groupA,groupB}

@data

7.310574,0.70992,0.6712,groupB
5.75146,8.523296,3.528161,groupB
0.298177,8.111701,9.454162,groupB
7.119091,5.76612,0.41347,groupB
9.775124,1.584378,5.490887,groupB
8.101349,4.058816,0.741327,groupB
1.692379,4.874576,9.43169,groupA
3.206033,5.494055,3.761619,groupB
6.907794,9.612112,3.337849,groupB
3.408539,4.450207,2.320711,groupB
4.685741,1.691626,4.514139,groupB
3.672603,4.581953,5.390784,groupB
3.352535,3.196491,8.427616,groupA
9.367708,8.376688,9.172625,groupB
2.186373,0.478213,1.028352,groupA
2.453103,1.855671,0.397613,groupA
9.4168,0.773599,2.585489,groupB
1.708198,2.444032,2.625501,groupA
6.463762,6.733608,7.515272,groupB
1.418184,3.15993,6.17421,groupA
0.072055,8.898962,8.883378,groupA
0.50858,3.176431,0.34765,groupA
6.985692,8.396912,8.735532,groupB
8.306243,0.803839,4.670751,groupB
0.006617,4.50104,1.911301,groupA
3.406462,8.300433,6.578137,groupB
4.307488,1.31573,7.379007,groupA
2.337622,3.638862,3.567274,groupA
9.403772,9.673297,0.527861,groupB
7.516113,2.769429,1.849963,groupB
8.034454,1.986123,3.381338,groupB
6.000454,5.486183,6.998259,groupB
2.780031,6.430472,7.419312,groupB
1.025719,4.455341,6.754641,groupA
9.422845,9.158171,4.816509,groupB
0.459401,4.53429,5.387859,groupA
1.731776,6.997297,9.787865,groupB
9.018836,5.762342,3.852001,groupB
4.577646,8.118517,2.606504,groupB
9.149814,7.79345,0.303778,groupB
1.227167,6.931149,4.691721,groupB
0.669922,0.605332,7.594181,groupA
3.042594,2.508171,1.393974,groupA
9.858363,7.965528,9.658591,groupB
8.036702,7.424855,6.645843,groupB
3.564648,7.347061,9.977363,groupB
1.17374,6.428345,7.707275,groupA
9.029384,2.753378,2.807332,groupB
1.881468,4.931358,0.206162,groupA
7.298601,2.099465,7.771736,groupB
6.575506,5.315428,2.573735,groupB
3.339891,1.125342,4.431618,groupA
3.223023,0.456599,5.512191,groupA
1.863456,9.058021,8.666091,groupB
2.309761,4.083495,1.789768,groupA
6.515353,7.142638,1.979555,groupB
2.621886,3.857544,4.733926,groupA
5.631777,4.637431,8.898833,groupB
0.034468,9.762785,2.637369,groupB
3.766312,9.269799,8.856825,groupB
2.020244,5.854618,4.607248,groupA
4.33828,5.591295,4.175981,groupB
3.878497,8.197977,9.666391,groupB
0.56007,3.583638,5.64131,groupA
7.895117,9.536302,7.765428,groupA
2.508192,2.09989,1.487087,groupA
0.121394,8.172188,4.680178,groupB
6.242987,9.781198,4.018589,groupB
5.185972,5.431501,9.369083,groupB
5.827781,0.164645,9.253277,groupA
6.748287,4.921395,1.926891,groupA
9.432142,3.512105,3.699607,groupA
2.399349,8.004477,7.058125,groupB
0.357229,2.315367,1.85345,groupA
6.036252,9.698439,0.087149,groupB
0.328835,1.319892,5.669669,groupA
5.975136,4.158346,0.920684,groupB
7.964806,6.469994,6.594051,groupB
8.563972,4.603297,8.55603,groupA
2.992752,1.708019,6.207999,groupA
2.476037,5.205834,5.888316,groupA
