@relation 'generators.SEAGenerator -f 2 -i 2'

@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute class {groupA,groupB}

@data

7.311469,9.014476,4.968226,groupA
0.332853,9.231246,4.528561,groupB
0.747938,7.431577,9.495833,groupA
1.108822,7.852482,3.775191,groupA
4.082851,3.523888,9.936866,groupA
3.34365,7.968362,1.715676,groupB
8.51243,2.286738,1.531859,groupB
6.284,6.865933,0.26549,groupA
2.47619,8.393601,6.889954,groupB
0.106316,8.257678,1.049769,groupA
9.326626,2.668269,5.544075,groupA
1.280627,9.840226,3.336976,groupB
0.579258,4.603102,4.679527,groupA
7.907551,2.605621,5.827696,groupB
7.245873,8.844072,4.225779,groupB
7.225994,7.526265,4.678719,groupB
0.973176,1.612478,6.339934,groupA
1.978945,2.981896,6.207804,groupA
4.88357,9.052949,0.409664,groupB
8.121491,9.190691,6.66738,groupA
6.61305,7.325265,7.05052,groupB
9.891014,6.266688,5.876616,groupB
6.296964,1.77985,4.915811,groupA
9.187235,4.341392,7.453295,groupB
6.474705,8.134702,5.319487,groupA
9.411623,9.467755,0.130904,groupB
5.842876,3.888839,8.659198,groupB
3.189187,7.503944,3.930866,groupB
3.740527,4.139706,7.392114,groupA
9.507473,3.379268,0.941087,groupB
9.058518,6.518717,0.689795,groupB
6.301871,0.020091,0.644281,groupB
5.520927,0.211987,5.910455,groupA
9.845303,5.18738,9.710702,groupB
5.315165,1.598755,2.228847,groupA
2.536745,9.037396,0.364693,groupB
8.061258,4.263517,3.439353,groupB
9.258005,4.754955,4.695969,groupB
1.744108,9.922733,2.064084,groupB
8.06938,1.479943,1.334197,groupB
3.123902,0.751211,4.088113,groupA
5.963125,8.176129,7.213671,groupB
0.160898,5.610249,7.446492,groupA
3.507731,0.741614,7.36662,groupA
5.161939,2.204236,1.405004,groupB
6.359157,3.385412,2.877868,groupB
3.425244,7.510302,4.558126,groupB
0.807956,3.753029,5.955274,groupB
0.258608,0.003657,4.6534,groupA
8.699478,1.809708,1.918364,groupA
0.973508,1.532638,4.953829,groupA
0.180861,2.786386,0.062302,groupB
4.183425,9.512528,4.987874,groupA
8.293918,3.407558,6.117006,groupB
9.845885,7.240288,6.473271,groupA
1.927621,8.443611,5.620657,groupB
0.743095,4.26948,6.773903,groupA
1.77232,9.059335,0.741266,groupB
3.192,0.358541,4.920672,groupA
5.152861,0.505662,6.204363,groupA
2.658559,0.736222,1.01756,groupA
5.739679,8.735236,3.966419,groupB
2.361615,0.551912,3.358909,groupB
4.150431,1.206466,1.520659,groupA
5.097768,4.038986,8.617191,groupB
5.454511,8.723414,6.284797,groupA
6.749938,1.135412,9.797269,groupA
8.834801,9.754484,8.022726,groupB
8.700107,7.369359,1.786604,groupA
9.285224,9.466203,0.148931,groupB
1.641866,6.907705,8.096297,groupA
5.76024,7.997783,9.176486,groupB
1.249255,2.908304,5.741701,groupA
6.176875,3.214288,9.149212,groupB
3.552501,5.452947,6.391425,groupB
4.360967,9.672966,3.850837,groupB
9.237193,1.099649,7.64641,groupB
4.444503,9.222083,4.169305,groupB
3.75206,0.830896,8.665185,groupA
0.357062,1.071201,3.517677,groupA
6.407143,2.210553,1.279558,groupA
8.370161,2.996185,5.695816,groupB
8.645572,1.180157,8.285746,groupB
6.570652,9.791829,9.995001,groupA
2.305331,9.855008,9.156156,groupB
3.508152,5.065284,0.503416,groupB
3.898572,0.360272,3.480655,groupA
5.421145,2.849801,3.360842,groupA
1.092287,9.594619,6.502319,groupA
5.705002,6.725582,2.732151,groupB
2.200563,0.161262,8.526359,groupA
7.322092,2.290946,5.39416,groupB
7.889239,7.034614,5.974352,groupB
2.74441,3.560661,3.578268,groupA
0.472934,2.964699,6.697306,groupA
3.259436,8.900548,3.91609,groupB
5.133295,2.762176,8.104794,groupA
0.578477,8.537762,6.810504,groupB
5.385978,4.042476,1.117933,groupB
6.634084,5.036826,2.13495,groupB
5.499294,5.882186,9.770565,groupB
9.369285,1.911096,4.696096,groupB
9.072691,9.266094,3.075219,groupB
0.612232,0.270877,9.433889,groupA
6.473144,2.239594,3.473717,groupA
3.322767,4.753429,7.989265,groupA
3.831444,4.052114,8.15089,groupA
9.82466,6.7769,3.842037,groupB
7.531609,7.218955,0.710218,groupB
4.551553,1.894931,5.93278,groupA
2.904875,6.413834,3.886892,groupB
4.340348,0.417859,5.028918,groupA
6.840818,9.414909,7.327211,groupB
6.175902,1.546832,6.002407,groupA
7.712244,4.394385,7.365177,groupB
4.92752,2.557924,1.356242,groupA
5.518367,9.701049,1.528297,groupB
6.501345,6.569568,5.855227,groupB
2.394046,1.635172,1.916577,groupA
0.193236,2.86852,7.078784,groupA
3.74322,8.111021,2.41759,groupA
1.556529,2.821909,0.815531,groupB
7.492115,4.942573,2.621001,groupA
2.215752,5.062784,0.943083,groupA
1.619167,7.400815,9.858132,groupB
1.411787,5.379357,2.654343,groupA
2.92037,2.355422,4.863272,groupA
9.676054,2.59566,5.394348,groupA
5.820517,9.694822,3.484225,groupB
9.624081,3.685561,9.517638,groupA
9.059374,7.130251,7.100433,groupB
8.648695,6.124428,4.541921,groupB
0.135819,9.833817,8.319373,groupB
9.681381,2.417206,1.979674,groupB
5.404249,2.338269,2.405813,groupA
6.488785,6.876668,7.594676,groupB
8.383447,3.137965,7.32481,groupB
6.482682,9.487224,7.405985,groupB
